Number,Name,Description,Halal Status
e100,Curcumin/Turmeric,Color,"Halal if pure grind turmeric powder or granular. Mushbooh if used as liquid, the solvents has to be Halal. Haraam if hidden ingredient is pork fat based emulsifier in dry mix."
e101,Riboflavin (Vitamin B2),Color,"Mushbooh (Haraam if from pork liver & Kidney, Halal if 100% plant material"
e102,Tartrazine,Color,"Halal if used as 100% dry color. Mushbooh if used as liquid color, the solvent has to be Halal"
e104,Quinoline Yellow,Color,"Halal if used as 100% dry color. Mushbooh if used as liquid color, the solvent other than water has to be Halal"
e107,Yellow 2G,Colors,"Halal if used as 100% dry color. Mushbooh if used as liquid color, the solvent has to be Halal"
e110,Sunset Yellow FCF / Orange Yellow S,Color,"Halal if used as 100% dry color. Mushbooh if used as liquid color, the solvent has to be Halal"
e120,Cochineal / Carminic Acid,Color,Haraam according to Hanafi Fiqqah
e122,Carmoisine / Azorubine,Color,"Halal if used as 100% dry color. Mushbooh if used as liquid color, the solvent has to be Halal"
e123,Amaranth,Color,"Halal if used as 100% dry color. Mushbooh if used as liquid color, the solvent has to be Halal"
e124,Ponceau 4R / Cochineal Red A,Color,"Halal if used as 100% dry color. Mushbooh if used as liquid color, the solvent has to be Halal"
e127,Erythrosine BS,Color,"Halal if used as 100% dry color. Mushbooh if used as liquid color, the solvent has to be Halal"
e128,Red 2G,Colors,"Halal if used as 100% dry color. Mushbooh if used as liquid color, the solvent has to be Halal"
e131,Patent Blue V,Color,"Halal if used as 100% dry color. Mushbooh if used as liquid color, the solvent has to be Halal"
e132,Indigo Carmine / Idigotine,Color,Halal if use as is as a 100% synthetic color but if pork glycerin is added as a solvent then it is Haraam
e133,Brilliant Blue FCF,Colors,"Halal if used as 100% dry color. Mushbooh if used as liquid color, the solvent has to be Halal"
e140,Chlorophyll,Color,Halal if use 100% powder or Halal if water or vegetable oil was used as a solvent
e141,Copper Complex of Chlorophyll,Color,Halal if use 100% powder or Halal if water or vegetable oil was used as a solvent
e142,Green S / Acid Brilliant Green BS,Color,"Halal if used as 100% dry color. Mushbooh if used as liquid color, the solvent has to be Halal"
e150a,Caramel Color/with chemicals,Color,Halal
e150b,Caramel Color/with chemicals,Color,Halal
e150c,Caramel Color/with chemicals,Color,Halal
e150d,Caramel Color/with chemicals,Color,Halal
e151,Black PN / Brilliant Black BN,Color,"Halal if used as 100% dry color. Mushbooh if used as liquid color, the solvent has to be Halal"
e153,Carbon Black / Vegetable Carbon (Charcoal),Color,"Halal if used as 100% dry color. Mushbooh if used as liquid color, the solvent has to be Halal"
e154,Brown FK,Colors,"Halal if used as 100% dry color. Mushbooh if used as liquid color, the solvent has to be Halal"
e155,Brown HT,Colors,"Halal if used as 100% dry color. Mushbooh if used as liquid color, the solvent has to be Halal"
e160a,"Alpha, Beta, Gamma",Color - Carotene,"Halal if used as 100% dry color. Mushbooh if used as liquid color, the solvent has to be Halal"
e160b,"Annatto, Bixin, Norbixin",Color - Carotene,Halal
e160c,Capsanthin / Capsorbin,Color- Carotene,"Halal if used as 100% dry color. Mushbooh if used as liquid color, the solvent has to be Halal"
e160d,Lycopene,Color - Carotene,"Halal if used as 100% dry color. Mushbooh if used as liquid color, the solvent has to be Halal"
e160e,Beta-apo-8-carotenal,Color - Carotene,Halal if used as 100% dry powder or granular or Halal if vegetable oil is used as a solvent in liquid form as a hidden ingredient. Haraam if pork gelatin is used as hidden ingredient or carrier
e160f,Ethyl ester of Beta-apo-8-cartonoic acid,Color - Carotene,Halal if used as 100% dry powder or granular or Halal if vegetable oil is used as a solvent in liquid form as a hidden ingredient. Haraam if pork gelatin is used as hidden ingredient or carrier
e161a,Flavoxanthin,Color,"Halal if used as 100% dry color. Mushbooh if used as liquid color, the solvent has to be Halal"
e161b,Lutein,Color,Halal if used as 100% dry powder or granular. Haraam if pork gelatin or pork glycerin is added in dry or liquid form
e161c,Cryptoxanthin,Color,"Halal if used as 100% dry color. Mushbooh if used as liquid color, the solvent has to be Halal"
e161d,Rubixanthin,Color,"Halal if used as 100% dry color. Mushbooh if used as liquid color, the solvent has to be Halal"
e161e,Violaxanthin,Color,"Halal if used as 100% dry color. Mushbooh if used as liquid color, the solvent has to be Halal"
e161f,Rhodoxanthin,Color,"Halal if used as 100% dry color. Mushbooh if used as liquid color, the solvent has to be Halal"
e161g,Canthaxanthin,Color,"Halal if used as 100% dry color. Mushbooh if used as liquid color, the solvent has to be Halal"
e162,Beetroot Red / Betanin,Color,"Halal if used as 100% dry color. Mushbooh if used as liquid color, the solvent has to be Halal"
e163,Anthocyanins,Color,"Halal if used as 100% dry color. Mushbooh if used as liquid color, the solvent has to be Halal"
e170,Calcium Carbonate (Chalk),Color - Inorganic,"Halal if obtained from rock mineral and used as 100% dry powder or granular. Mushbooh if used as liquid, solvent has to be Halal"
e171,Titanium Dioxide,Color - Inorganic,Halal
e172,Iron Oxides and Hydroxides,Color - Inorganic,Halal
e173,Aluminium,Color - Inorganic,Halal
e174,Silver,Color - Inorganic,Halal
e175,Gold,Color - Inorganic,Halal
e180,Pigment Rubine / Lithol Rubine BK,Color - Inorganic,"Halal if used as 100% dry color. Mushbooh if used as liquid color, the solvent has to be Halal"
e200,Sorbic Acid,Preservative,Halal
e201,Soduim Sorbate,Preservative,Halal
e202,Potassium Sorbate,Preservative,Halal
e203,Calcium Sorbate,Preservative,Halal
e210,Benzoic Acid,Preservative,Halal
e211,Sodium Benzoate,Preservative,Halal
e212,Potassium Benzoate,Preservative,Halal
e213,Calcium Benzoate,Preservative,"Halal, if calcium obtained from mineral, Mushbooh if it is obtained from bones."
e214,Ethyl 4-hydroxybenzoate,Preservative,"Halal, if used as 100% dry powder or granular. Haraam if alcohol is used as a solvent"
e215,"Ethyl 4-hydroxybenzoate, Sodium Salt",Preservative,"Halal, if used as 100% dry powder or granular. Haraam if alcohol is used as a solvent"
e216,Propyl 4-hydroxybenzoate,Preservative,"Halal, if used as 100% dry powder or granular. Haraam if alcohol is used as a solvent"
